documentname,documentdescription,locality,marks,municipality,friendlyurl,tourismemail,web,productclub,buytype,qualityassurance,lon,lat,provincia
Buen Bokado,,,Montes y Valles vascos,Urretxu,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/buen-bokado/webtur00-content/es/,info@buenbokado.com,http://www.buenbokado.com/,1,Agricultura Ecológica,,-2.314939838623104,43.090640292453514,Gipuzkoa
Galería 8360,,Bilbao,Bilbao,Bilbao,https://turismoa.euskadi.eus/es/tiendas/galeria-8360/webtur00-content/es/,,https://galeria8360.com/,,Pescados y Mariscos,,-2.9347249,43.2585424,Bizkaia
Mercedes de Miguel,,Bilbao,Bilbao,Bilbao,https://turismoa.euskadi.eus/es/tiendas/mercedes-de-miguel/webtur00-content/es/,info@mercedesdemiguel.com,https://mercedesdemiguel.com/,,Pescados y Mariscos,,-2.9385535,43.2627203,Bizkaia
Suart Jewelry by Ane Navarro,,Bilbao,Bilbao,Bilbao,https://turismoa.euskadi.eus/es/tiendas/suart-jewelry-by-ane-navarro/webtur00-content/es/,info@suartjoyas.com,https://suartjewelry.com/,,Carnes,,-2.9350228,43.2663431,Bizkaia
BOX San Sebastián,,Donostia / San Sebastián,San Sebastián,Donostia / San Sebastián,https://turismoa.euskadi.eus/es/tiendas/box-san-sebastian/webtur00-content/es/,info@boxsansebastian.com,https://www.boxsansebastian.com/,,Carnes,,-1.980983,43.3179801,Gipuzkoa
Perfumería Benegas,,Donostia / San Sebastián,San Sebastián,Donostia / San Sebastián,https://turismoa.euskadi.eus/es/tiendas/perfumeria-benegas/webtur00-content/es/,info@perfumeriabenegas.com,https://www.perfumeriabenegas.com/,,Carnes,,-1.9838985,43.3211738,Gipuzkoa
Joyería Casa Munoa,,Donostia / San Sebastián,San Sebastián,Donostia / San Sebastián,https://turismoa.euskadi.eus/es/tiendas/joyeria-casa-munoa/webtur00-content/es/,j.munoa@telefonica.net,https://casamunoa.com/,,Carnes,,-1.9828936,43.3244401,Gipuzkoa
Kofradia - Itsas Etxea,,Donostia / San Sebastián,San Sebastián,Donostia / San Sebastián,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/kofradia-itsas-etxea/webtur00-content/es/,kaixo@kofradia.eus,https://kofradia.eus/,,Postres,,-1.9878473,43.3236786,Gipuzkoa
Mar Cadarso,,Vitoria-Gasteiz,Vitoria-Gasteiz,Vitoria-Gasteiz,https://turismoa.euskadi.eus/es/tiendas/mar-cadarso/webtur00-content/es/,info@marcadarso.com,http://www.marcadarso.com/,,Carnes,,-2.6740651,42.8470324,Araba/Álava
Perfumería Ibarrondo,,Vitoria-Gasteiz,Vitoria-Gasteiz,Vitoria-Gasteiz,https://turismoa.euskadi.eus/es/tiendas/perfumeria-ibarrondo/webtur00-content/es/,info@perfumeriaibarrondo.com,https://perfumeriaibarrondo.com/,,Carnes,,-2.670223,42.8451428,Araba/Álava
Conservas Artesanas Victofer,,Vitoria-Gasteiz,Vitoria-Gasteiz,Vitoria-Gasteiz,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/conservas-artesanas-victofer1/webtur00-content/es/,comercial@victofer.com,https://victofer.com/,,Euskal Baserri,,-2.6704886,42.8478918,Araba/Álava
Toni Pons,Toni Pons,Donostia / San Sebastián,San Sebastián,Donostia / San Sebastián,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/toni-pons/webtur00-content/es/,donostia@tonipons.com,https://tonipons.com,,Pescados y Mariscos,,-1.9817051,43.318237,Gipuzkoa
Vinoteca Arlobi Aterpe Berezia,Vinoteca Arlobi Aterpe Berezia,,Montes y Valles vascos,Zuia,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/vinoteca-arlobi-aterpe-berezia/webtur00-content/es/,vinotecaarlobi@gmail.com,https://euskadigastronomika.eus/es/vinoteca-arlobi-aterpe-berezia,,Postres,,-2.8211578,42.9577848,Araba/Álava
Arándanos Atxineta Baserria,Arándanos Atxineta Baserria,,Montes y Valles vascos,Aramaio,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/arandanos-atxineta-baserria/webtur00-content/es/,info@arandanosatxineta.com,https://www.arandanosatxineta.com/,,Agricultura Ecológica,,-2.6281679,43.0569139,Araba/Álava
Iruri,Iruri,,Montes y Valles vascos,Legutio,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/iruri/webtur00-content/es/,bostibaietasc@gmail.com,https://euskadigastronomika.eus/es/iruri,,Eusko Label,,-2.6425841,42.9804724,Araba/Álava
Toni Pons,Toni Pons,,San Sebastián,Donostia / San Sebastián,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/toni-pons1/webtur00-content/es/,donostia@tonipons.com,https://www.tonipons.com/,,Pescados y Mariscos,,-1.985827,43.3227757,Gipuzkoa
Ezpelabarri,Ezpelabarri,,Montes y Valles vascos,Orozko,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/ezpelabarri/webtur00-content/es/,ezpelabarri@gmail.com,,,Denominación de Origen,,-2.913674,43.1087074,Bizkaia
Lavandula Cosmética Natural S.L.,Lavandula Cosmética Natural S.L.,,Montes y Valles vascos,Otxandio,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/lavandula-cosmetica-natural-sl/webtur00-content/es/,info@lavandulacosmetica.com,https://lavandulacosmetica.com/,,Carnes,,-2.6535353,43.0400691,Bizkaia
Conservas Arroyabe,Conservas Arroyabe,,Costa Vasca,Bermeo,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/conservas-arroyabe/webtur00-content/es/,info@arroyabe.es,https://www.arroyabe.es/,,Euskal Baserri,,-2.7455132,43.4221076,Bizkaia
Conservas Campos,Conservas Campos ,,Costa Vasca,Bermeo,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/conservas-campos/webtur00-content/es/,,https://www.clubcampos.com/,,Euskal Baserri,,-2.7375454,43.4203791,Bizkaia
The One Wine,The One Wine,,Rioja Alavesa,Laguardia,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/the-one-wine/webtur00-content/es/,xabi@theonewine.com,https://www.theonewine.com/,,Postres,,-2.5848613,42.5534885,Araba/Álava
Pello Zabala Gunea,Pello Zabala Gunea,,Montes y Valles vascos,Amezketa,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/pello-zabala-gunea/webtur00-content/es/,pellozabalagunea@amezketa.eus,https://www.tolosaldea.eus/esperientzia/espacio-pello-zabala/,,Postres,,-2.0852586,43.0438608,Gipuzkoa
Real Sociedad (tienda Anoeta),Real Sociedad (tienda Anoeta),,San Sebastián,Donostia / San Sebastián,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/real-sociedad-tienda-anoeta/webtur00-content/es/,rsstore@realsociedad.eus,https://rsstore.realsociedad.eus/es/,,Pescados y Mariscos,,-1.9735868,43.3013668,Gipuzkoa
Real Sociedad (tienda Elkano),Real Sociedad (tienda Elkano),,San Sebastián,Donostia / San Sebastián,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/real-sociedad-tienda-elkano/webtur00-content/es/,,,,Pescados y Mariscos,,-1.9833233,43.3218738,Gipuzkoa
Burutxaga Hestebeteak,Burutxaga Hestebeteak,,Montes y Valles vascos,Amurrio,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/burutxaga-hestebeteak/webtur00-content/es/,burutxaga.hestebeteak@gmail.com,,,Agricultura Ecológica,,-3.0042571,43.0393815,Araba/Álava
Quesería Soloitza,Quesería Soloitza,Arespalditza/Respaldiza | Diseminado,Montes y Valles vascos,Ayala/Aiara,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/queseria-soloitza/webtur00-content/es/,info@soloitza.com,https://soloitza.com/,,Eusko Label,,-3.0481815,43.0928272,Araba/Álava
Jo Topagunea,Jo Topagunea,,Montes y Valles vascos,Tolosa,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/jo-topagunea/webtur00-content/es/,jotopagunea@gmail.com,,,Postres,,-2.0721939,43.138965,Gipuzkoa
